x_year,organism_full,Resistant_Drug_Classes,Count,Total_Samples,Percentage,MDR_id
2017,Escherichia coli,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins, β-lactam combination agents",606,43875,1.38,M7-001
2017,Escherichia coli,"Aminoglycosides, Cephalosporins, Penicillins",491,43875,1.12,M3-008
2017,Escherichia coli,"Folate pathway antagonists, Penicillins, β-lactam combination agents",488,43875,1.11,M3-041
2017,Escherichia coli,"Cephalosporins, Folate pathway antagonists, Penicillins, β-lactam combination agents",296,43875,0.67,M4-034
2017,Escherichia coli,"Cephalosporins, Penicillins, β-lactam combination agents",277,43875,0.63,M3-031
2017,Escherichia coli,"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Penicillins, β-lactam combination agents",250,43875,0.57,M5-014
2017,Escherichia coli,"Fluoroquinolones, Folate pathway antagonists, Penicillins, β-lactam combination agents",245,43875,0.56,M4-035
2017,Escherichia coli,"Fluoroquinolones, Penicillins, β-lactam combination agents",227,43875,0.52,M3-039
2017,Escherichia coli,"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Penicillins, β-lactam combination agents",211,43875,0.48,M5-015
2017,Escherichia coli,"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins, β-lactam combination agents",144,43875,0.33,M6-007
2017,Escherichia coli,"Aminoglycosides, Cephalosporins, Penicillins, β-lactam combination agents",113,43875,0.26,M4-016
2017,Escherichia coli,"Aminoglycosides, Folate pathway antagonists, Penicillins, β-lactam combination agents",99,43875,0.23,M4-020
2017,Escherichia coli,"Aminoglycosides, Fluoroquinolones, Penicillins, β-lactam combination agents",83,43875,0.19,M4-019
2017,Escherichia coli,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Penicillins, β-lactam combination agents",31,43875,0.07,M6-003
2017,Escherichia coli,"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists",31,43875,0.07,M3-010
2017,Escherichia coli,"Aminoglycosides, Penicillins, β-lactam combination agents",31,43875,0.07,M3-015
2017,Escherichia coli,"Carbapenems, Cephalosporins, Fluoroquinolones, Penicillins, β-lactam combination agents",20,43875,0.05,M5-018
2017,Escherichia coli,"Carbapenems, Cephalosporins, Penicillins, β-lactam combination agents",19,43875,0.04,M4-026
2017,Escherichia coli,"Carbapenems, Penicillins, β-lactam combination agents",16,43875,0.04,M3-025
2017,Escherichia coli,"Carbapenems, Cephalosporins, Folate pathway antagonists, Penicillins, β-lactam combination agents",13,43875,0.03,M5-019
2017,Escherichia coli,"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists, Penicillins, β-lactam combination agents",11,43875,0.03,M6-004
2017,Escherichia coli,"Cephalosporins, Fluoroquinolones, Folate pathway antagonists",9,43875,0.02,M3-026
