Bacteria,Ward_Type,Drug_Name,ACF_Lag12,Seasonal_Strength,Has_Seasonality
Acinetobacter baumannii,in,imipenem,-0.053020406597397485,0.12392262648558938,False
Acinetobacter baumannii,in,levofloxacin,0.05056836142068659,0.10493963789617522,False
Acinetobacter baumannii,in,meropenem,0.38038448640694644,0.0,False
Acinetobacter baumannii,in,piperacillin/tazobactam,0.5046310950206705,0.2990170106813491,True
Acinetobacter baumannii,in,trimethoprim/sulfamethoxazole,0.2726057949055821,0.3423784490653603,True
Acinetobacter baumannii,out,Sensitive/None,0.36345030203750783,0.3695644368668285,True
Acinetobacter baumannii,out,amikacin,0.19294644827810595,0.3403134692876659,True
Acinetobacter baumannii,out,ampicillin/sulbactam,0.38492360937695214,0.42923701649330914,True
Acinetobacter baumannii,out,cefepime,0.6214971364260373,0.20440037316214976,True
Acinetobacter baumannii,out,cefotaxime,-0.1322835307607635,0.14139004884143302,False
Acinetobacter baumannii,out,ceftazidime,0.19292730798446786,0.16476365981448282,False
Acinetobacter baumannii,out,ceftriaxone,0.19496188083483343,0.1275473097763523,False
Acinetobacter baumannii,out,ciprofloxacin,0.11080772245848637,0.1750292144806308,False
Acinetobacter baumannii,out,gentamicin,0.28020845115046344,0.14068597980287223,False
Acinetobacter baumannii,out,imipenem,-0.05984481135769871,0.12755039397576984,False
Acinetobacter baumannii,out,levofloxacin,0.09100373101346346,0.281262185647443,False
Acinetobacter baumannii,out,meropenem,0.1092226941023144,0.09900586797026134,False
Acinetobacter baumannii,out,piperacillin/tazobactam,-0.11458665338961511,0.17035386340366754,False
Acinetobacter baumannii,out,trimethoprim/sulfamethoxazole,0.10074385191549118,0.0,False
Escherichia coli,icu,Sensitive/None,0.1020516666610928,0.07818414224324444,False
Escherichia coli,icu,amikacin,0.03245321717127181,0.001612470273682498,False
Escherichia coli,icu,amoxicillin/clavulanic acid,0.013657547719061039,0.2090130766761974,False
Escherichia coli,icu,ampicillin,0.3254408584713382,0.2902970439401281,False
Escherichia coli,icu,ampicillin/sulbactam,0.06157436044866941,0.11823191400908062,False
Escherichia coli,icu,cefepime,0.5897012833683497,0.3091167579443367,True
Escherichia coli,icu,ceftazidime,0.26098648529461377,0.0,False
Escherichia coli,icu,ceftriaxone,0.0457029842219921,0.044967034929345506,False
Escherichia coli,icu,cefuroxime,0.2099172927994058,0.1340151354926935,False
Escherichia coli,icu,ciprofloxacin,-0.04624189836343044,0.14225634474686144,False
Escherichia coli,icu,ertapenem,0.43240723899060285,0.16915623004645142,True
Escherichia coli,icu,gentamicin,0.37867653915996374,0.19867104294861238,False
Escherichia coli,icu,imipenem,0.05726538234666283,0.04531934217313682,False
Escherichia coli,icu,levofloxacin,0.6329219679924657,0.1972550935727143,True
Escherichia coli,icu,meropenem,0.24004609317557635,0.1964419285546929,False
Escherichia coli,icu,norfloxacin,0.6564768872928252,0.010825317536451218,True
Escherichia coli,icu,piperacillin/tazobactam,0.010590719752534053,0.18381844842454398,False
Escherichia coli,icu,trimethoprim/sulfamethoxazole,0.2918236837417307,0.4231477771975569,True
Escherichia coli,in,Sensitive/None,0.5403188997601396,0.32160736968074555,True
Escherichia coli,in,amikacin,0.13402267547091984,0.11703444283221731,False
Escherichia coli,in,amoxicillin/clavulanic acid,0.2713888947800839,0.15143996744013555,False
Escherichia coli,in,ampicillin,0.4855959710593934,0.12050861348095354,True
Escherichia coli,in,ampicillin/sulbactam,-0.06662173933120503,0.06989290227393907,False
Escherichia coli,in,cefepime,0.6415026871276698,0.123884758224995,True
Escherichia coli,in,ceftazidime,0.39947822670369093,0.07799593272568817,False
Escherichia coli,in,ceftriaxone,0.3385997767487838,0.0,False
Escherichia coli,in,cefuroxime,0.31450151862052084,0.24025827473842687,False
Escherichia coli,in,ciprofloxacin,0.36714397214180217,0.29491380064363715,False
Escherichia coli,in,ertapenem,0.6423843680633434,0.0,True
Escherichia coli,in,gentamicin,0.6632875326626806,0.3414005990311011,True
Escherichia coli,in,imipenem,0.43364297572643157,0.0,True
Escherichia coli,in,levofloxacin,0.6958138643584317,0.3986312244236543,True
